//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/iOSSupport/System/Library/AccessibilityBundles/MobileSafariFramework.axbundle/Contents/MacOS/MobileSafariFramework
// arch:    arm64e
// uuid:    171B6563-14B9-3A94-AB3C-C638DF2D7CA3
// text:    0x0000000287314000
// count:   722 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000287316bc8  0x0000000c  __TEXT,__text  objc  +[ScrollingCapsuleCollectionViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[ScrollingCapsuleCollectionViewAccessibility ?]
0x0000000287316bd4  0x00000020  __TEXT,__text  objc  +[ScrollingCapsuleCollectionViewAccessibility _accessibilityPerformValidations:]  // +[ScrollingCapsuleCollectionViewAccessibility ?]
0x0000000287316bf4  0x0000006c  __TEXT,__text  objc  -[ScrollingCapsuleCollectionViewAccessibility _accessibilityLoadAccessibilityInformation]  // -[ScrollingCapsuleCollectionViewAccessibility ?]
0x0000000287316c60  0x0000000c  __TEXT,__text  objc  +[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility insertSubview:belowSubview:]
0x0000000287316c6c  0x0000000c  __TEXT,__text  objc  +[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility ?]
0x0000000287316c78  0x000000f8  __TEXT,__text  objc  +[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility _accessibilityPerformValidations:]  // +[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility ?]
0x0000000287316d70  0x00000208  __TEXT,__text  objc  -[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility _accessibilityLoadAccessibilityInformation]  // -[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility ?]
0x0000000287316f78  0x0000004c  __TEXT,__text  objc  -[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility updateConfigurationUsingState:]  // -[SFBookmarksCollectionViewControllerSegmentedControlCellAccessibility ?]
0x0000000287316fc4  0x0000000c  __TEXT,__text  objc  +[SFUnifiedTabBarSectionBackgroundViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SFUnifiedTabBarSectionBackgroundViewAccessibility keyboardInput:shouldInsertText:isMarkedText:]
0x0000000287316fd0  0x0000000c  __TEXT,__text  objc  +[SFUnifiedTabBarSectionBackgroundViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SFUnifiedTabBarSectionBackgroundViewAccessibility ?]
0x0000000287316fdc  0x00000004  __TEXT,__text  objc  +[SFUnifiedTabBarSectionBackgroundViewAccessibility _accessibilityPerformValidations:]  // +[SFUnifiedTabBarSectionBackgroundViewAccessibility ?]
0x0000000287316fe0  0x00000008  __TEXT,__text  objc  -[SFUnifiedTabBarSectionBackgroundViewAccessibility isAccessibilityElement]  // -[SFUnifiedTabBarSectionBackgroundViewAccessibility ?]
0x0000000287316fe8  0x00000010  __TEXT,__text  objc  -[SFUnifiedTabBarSectionBackgroundViewAccessibility accessibilityTraits]  // -[SFUnifiedTabBarSectionBackgroundViewAccessibility ?]
0x0000000287316ff8  0x0000000c  __TEXT,__text  objc  +[MediaPlaybackButtonAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[MediaPlaybackButtonAccessibility insertRowsAtIndexPaths:withRowAnimation:]
0x0000000287317004  0x0000000c  __TEXT,__text  objc  +[MediaPlaybackButtonAccessibility(SafeCategory) safeCategoryBaseClass]  // +[MediaPlaybackButtonAccessibility ]
0x0000000287317010  0x00000084  __TEXT,__text  objc  +[MediaPlaybackButtonAccessibility _accessibilityPerformValidations:]  // +[MediaPlaybackButtonAccessibility ?]
0x0000000287317094  0x00000128  __TEXT,__text  objc  -[MediaPlaybackButtonAccessibility accessibilityLabel]  // -[MediaPlaybackButtonAccessibility __PKPassTileViewAccessibility_super]
0x00000002873171bc  0x0000000c  __TEXT,__text  objc  +[MainButtonAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[MainButtonAccessibility insertItemsAtIndexPaths:]
0x00000002873171c8  0x0000000c  __TEXT,__text  objc  +[MainButtonAccessibility(SafeCategory) safeCategoryBaseClass]  // +[MainButtonAccessibility ?]
0x00000002873171d4  0x00000018  __TEXT,__text  objc  +[MainButtonAccessibility _accessibilityPerformValidations:]  // +[MainButtonAccessibility ?]
0x00000002873171ec  0x00000068  __TEXT,__text  objc  -[MainButtonAccessibility isAccessibilityElement]  // -[MainButtonAccessibility ?]
0x0000000287317254  0x00000070  __TEXT,__text  objc  -[MainButtonAccessibility accessibilityActivate]  // -[MainButtonAccessibility ?]
0x00000002873172c4  0x0000000c  __TEXT,__text  objc  +[CapsuleTabGroupViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[CapsuleTabGroupViewAccessibility insertDictationResult:]
0x00000002873172d0  0x0000000c  __TEXT,__text  objc  +[CapsuleTabGroupViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[CapsuleTabGroupViewAccessibility ?]
0x00000002873172dc  0x00000154  __TEXT,__text  objc  +[CapsuleTabGroupViewAccessibility _accessibilityPerformValidations:]  // +[CapsuleTabGroupViewAccessibility ?]
0x0000000287317430  0x0000006c  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility _accessibilityLoadAccessibilityInformation]  // -[CapsuleTabGroupViewAccessibility ]
0x000000028731749c  0x00000008  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility isAccessibilityElement]  // -[CapsuleTabGroupViewAccessibility ]
0x00000002873174a4  0x000000f8  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility accessibilityActivate]  // -[CapsuleTabGroupViewAccessibility ?]
0x000000028731759c  0x0000000c  __TEXT,__text  func  __57-[CapsuleTabGroupViewAccessibility accessibilityActivate]_block_invoke
