//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AppleScript.framework/Versions/A/AppleScript
// arch:    arm64e
// uuid:    1D5D8FFA-4332-3D73-A19A-5A903209470B
// text:    0x0000000234d23000
// count:   2405 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000234d29fe4  0x000000e4  __TEXT,__text  cxx  __ZL18ASSetLocalVariableP15TUASEnvironmentPK6AEDescP10TUASScript  // ASSetLocalVariable(TUASEnvironment*, AEDesc const*, TUASScript*)
0x0000000234d2a0c8  0x00000228  __TEXT,__text  cxx  __Z15CheckBreakPointv  // CheckBreakPoint()
0x0000000234d2a2f0  0x00000180  __TEXT,__text  cxx  __Z15PauseInDebuggerv  // PauseInDebugger()
0x0000000234d2a470  0x0000013c  __TEXT,__text  cxx  __Z14NotifyDebugger18DebuggerReportCode  // NotifyDebugger(DebuggerReportCode)
0x0000000234d2a5ac  0x000000a0  __TEXT,__text  cxx  __Z13compareEventsP14OpaqueEventRefPv  // compareEvents(OpaqueEventRef*, void*)
0x0000000234d2a64c  0x0000029c  __TEXT,__text  cxx  __Z21CheckForDebuggerEventv  // CheckForDebuggerEvent()
0x0000000234d2a8e8  0x000001a8  __TEXT,__text  cxx  __Z20WaitIfDebuggerPausedv  // WaitIfDebuggerPaused()
0x0000000234d2aa90  0x000003fc  __TEXT,__text  cxx  __Z28InstallDebuggerEventHandlersPPc  // InstallDebuggerEventHandlers(char**)
0x0000000234d2ae8c  0x000000f8  __TEXT,__text  cxx  __ZN14CoreFoundation13ostringstreamC1Ev  // CoreFoundation::ostringstream::ostringstream()
0x0000000234d2af84  0x00000038  __TEXT,__text  cxx  __ZN14CoreFoundation13ostringstreamD1Ev  // CoreFoundation::ostringstream::~ostringstream()
0x0000000234d2afbc  0x000000a4  __TEXT,__text  cxx  __ZN14CoreFoundation13ostringstreamD0Ev  // CoreFoundation::ostringstream::~ostringstream()
0x0000000234d2b060  0x000000a0  __TEXT,__text  cxx  __ZTv0_n24_N14CoreFoundation13ostringstreamD1Ev  // virtual thunk to CoreFoundation::ostringstream::~ostringstream()
0x0000000234d2b100  0x000000b8  __TEXT,__text  cxx  __ZTv0_n24_N14CoreFoundation13ostringstreamD0Ev  // virtual thunk to CoreFoundation::ostringstream::~ostringstream()
0x0000000234d2b1b8  0x000000a0  __TEXT,__text  cxx  __ZN14CoreFoundation9stringbufC2Ev  // CoreFoundation::stringbuf::stringbuf()
0x0000000234d2b258  0x000000c8  __TEXT,__text  cxx  __ZN14CoreFoundation13ostringstreamD2Ev  // CoreFoundation::ostringstream::~ostringstream()
0x0000000234d2b320  0x00000074  __TEXT,__text  cxx  __ZN14CoreFoundation9stringbufD2Ev  // CoreFoundation::stringbuf::~stringbuf()
0x0000000234d2b394  0x0000011c  __TEXT,__text  cxx  __ZNSt3__119basic_ostringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEED2Ev  // std::__1::basic_ostringstream<char, std::__1::char_traits<char>, std::__1::allocator<char>>::~basic_ostringstream()
0x0000000234d2b4b0  0x00000034  __TEXT,__text  cxx  __ZN14CoreFoundation8auto_refIPK10__CFStringED2Ev  // CoreFoundation::auto_ref<__CFString const*>::~auto_ref()
0x0000000234d2b4e4  0x000000bc  __TEXT,__text  cxx  __ZNSt3__115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEEC2B9nqe210106Ej  // std::__1::basic_stringbuf<char, std::__1::char_traits<char>, std::__1::allocator<char>>::basic_stringbuf[abi:nqe210106](unsigned int)
0x0000000234d2b5a0  0x00000108  __TEXT,__text  cxx  __ZNSt3__115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEE15__init_buf_ptrsB9nqe210106Ev  // std::__1::basic_stringbuf<char, std::__1::char_traits<char>, std::__1::allocator<char>>::__init_buf_ptrs[abi:nqe210106]()
0x0000000234d2b6a8  0x00000020  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x0000000234d2b6c8  0x0000010c  __TEXT,__text  cxx  __Z6ASLoadPK6AEDesciPj  // ASLoad(AEDesc const*, int, unsigned int*)
0x0000000234d2b7d4  0x000001d8  __TEXT,__text  cxx  __Z7ASStorejjiP6AEDesc  // ASStore(unsigned int, unsigned int, int, AEDesc*)
0x0000000234d2b9ac  0x0000021c  __TEXT,__text  cxx  __Z9ASExecutejjiPj  // ASExecute(unsigned int, unsigned int, int, unsigned int*)
0x0000000234d2bbc8  0x00000108  __TEXT,__text  cxx  __ZL28mt_log_automation_osaexecutej  // mt_log_automation_osaexecute(unsigned int)
0x0000000234d2bcd0  0x000001c0  __TEXT,__text  cxx  __Z18UASBytecode2Range1P13TUASStatementlRlS1_  // UASBytecode2Range1(TUASStatement*, long, long&, long&)
0x0000000234d2be90  0x0000008c  __TEXT,__text  cxx  __Z17UASBytecode2RangelRlS_  // UASBytecode2Range(long, long&, long&)
0x0000000234d2bf1c  0x00000530  __TEXT,__text  cxx  __Z13ASScriptErrorjjP6AEDesc  // ASScriptError(unsigned int, unsigned int, AEDesc*)
0x0000000234d2c44c  0x00000040  __TEXT,__text  cxx  __Z9ASDisposej  // ASDispose(unsigned int)
