//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CoreCaptureDaemon.framework/Versions/A/CoreCaptureDaemon
// arch:    arm64e
// uuid:    D5EBEAD7-0014-3DDF-BAC9-D1CBB443B875
// text:    0x00000001e4b7b000
// count:   606 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001e4b8c0f4  0x0000007c  __TEXT,__text  cxx  __ZN12CCXPCService27withConfigureAndPipeMonitorEP11CCConfigureP13CCPipeMonitor  // CCXPCService::withConfigureAndPipeMonitor(CCConfigure*, CCPipeMonitor*)
0x00000001e4b8c170  0x000001f8  __TEXT,__text  cxx  __ZN12CCXPCService15startXPCServiceEv  // CCXPCService::startXPCService()
0x00000001e4b8c368  0x00000094  __TEXT,__text  cxx  __ZN11CCXPCRemote13withConfigureEP11CCConfigure  // CCXPCRemote::withConfigure(CCConfigure*)
0x00000001e4b8c3fc  0x0000031c  __TEXT,__text  cxx  __ZN8CCDaemon13activityCheckEv  // CCDaemon::activityCheck()
0x00000001e4b8c718  0x000004c0  __TEXT,__text  cxx  __ZN13CCPipeMonitor8isActiveEd  // CCPipeMonitor::isActive(double)
0x00000001e4b8cbd8  0x000002ac  __TEXT,__text  cxx  __ZN8CCDaemon13freeResourcesEv  // CCDaemon::freeResources()
0x00000001e4b8ce84  0x000000cc  __TEXT,__text  cxx  __ZN12CCXPCService13freeResourcesEv  // CCXPCService::freeResources()
0x00000001e4b8cf50  0x000005c0  __TEXT,__text  cxx  __ZN12CCXPCService21handleConnectionEventEPv  // CCXPCService::handleConnectionEvent(void*)
0x00000001e4b8d510  0x00000458  __TEXT,__text  cxx  __ZN13CCPipeMonitor15stopPipeMonitorEv  // CCPipeMonitor::stopPipeMonitor()
0x00000001e4b8d968  0x00000304  __TEXT,__text  cxx  __ZN5CCTap13freeResourcesEv  // CCTap::freeResources()
0x00000001e4b8dc6c  0x00000054  __TEXT,__text  cxx  __ZN19CCDataPipeInterface13freeResourcesEv  // CCDataPipeInterface::freeResources()
0x00000001e4b8dcc0  0x0000007c  __TEXT,__text  cxx  __ZN5CCTap16freeDirPathArrayEv  // CCTap::freeDirPathArray()
